Names	total	elements
		ultimasnoticias
		manchas
		ultrassonografia
		realidade
		midia
		pena
		sigame
		jornal
		olhos
		malformaçao
		twitciencia
		estadao
		surto
		sexo
		josimara
		abençoada
		larvicida
		sesab
		numero
		foco
		formaçao
		fortaleza
		menina
		problema
		ambulatorio
		vitimas
		processo
		congresso
		ventura
		tribuna
		polos
		medicos
		beneficio
		populaçao
		abençoe
		kkkkkk
		sistema
		mulher
		familiares
		sesap
		cidade
		rondonia
		cura
		parada
		epoca
		intermediara
		duvidas
		sala
		reabilitaçao
		força
		estudo
		unicef
		curso
		polemica
		dessa
		leite
		hora
		campo
		ribeirao
		prorroga
		tipo
		estrategia
		nenem
		professor
		asociados
		b0derulez
		prefeitura
		inss
		combateaedes
		mesiga
		jersey
		comissao
		betacaralhudosan
		efeitos
		resposta
		pinheiral
		vitoria
		açoes
		trabalho
		audiçao
		atençao
		alunos
		cranio
		direito
		dicas
		olho
		merda
		puta
		fato
		fome
		amamentaçao
		blog
		primeirahora
		tambau247
		chicosabetudo
		personalizada1
		chance
		sonhos
		dramas
		hondurenha
		mentira
		anos
		ajuda
		google
		globo
		2016
		menino
		santo
		aula
		vida
		situaçao
		exame
		filhos
		googlenewsbrasil
		associaçao
		tema
		guerreiras
		ligaçao
		serviço
		prevençao
		parceria
		irmao
		caralho
		amiga
		cadastro
		controle
		diagnostico
		casi
		compartilha
		microcefalia
		repórterrecordinvestigaçao
		kkkk
		cara
		sport
		historia
		cabo
		campanha
		palestra
		soma
		conexaoreporter
		beneficios
		piaui
		infectada
		informativo
		campina
		agressoes
		batalha
		onda
		informaçao
		janeiro
		vaga
		doaçoes
		referencia
		ministerios
		pauta
		tamanho
		lingerie
		conta
		coisa
		casa
		gestantes
		cabeça
		1551
		recife
		verdade
		espirito
		balanço
		educaçao
		politica
		suspeita
		gestaçao
		monitoramento
		clinica
		news
		conexao
		paralisia
		cruz
		terra
		opiniao
		audiencia
		nascimento
		ceara
		verbas
		minhacasaminhavida
		galera
		semsa
		especialistas
		governo
		fundaçao
		dificuldade
		objetivo
		agencia
		luta
		gravidas
		metodo
		paises
		operaçaoretweet
		capacitaçao
		experiencia
		risco
		mosquitos
		gado
		animais
		intençao
		rtuolnoticias
		futuro
		casal
		vacinas
		oculares
		2015
		senhora
		assista
		fila
		lugar
		pneumonia
		jucamario27
		bebe
		deficiencia
		corrupçao
		operacaobetalab
		site
		imagem
		adicionei
		material
		oscar
		chega2015
		maio
		reporta
		foda
		estados
		pesquisador
		filha
		gravidez
		confirmaçoes
		oglobonoticias
		preferencia
		sabado
		acordabraziu
		saga
		paraibanos
		reuters
		alteraçoes
		dezenas
		medico
		ultimo
		alerta
		doutor
		semana
		ligia
		gente
		nessa
		hospital
		zikazero
		neste
		queengabyboterkooper
		secretaria
		crise
		presidente
		catanduva
		adrianokmd92
		bebes
		ratas
		feedbrasil
		vidas
		diretor
		recursos
		vacina
floresta	99	ponto
		linda
		achando
		investiga
		reduziu
		prorrogada
		acordo
		aborda
		estudados
		vinculado
		convoca
		amigo
		atendidas
		coordena
		strong
		kits
		infectado
		vejo
		contraiu
		conferida
		detecta
		impeachment
		alertam
		down
		param
		disso
		estuprada
		ajude
		vinculados
		gravida
		relacionou
		final
		debatem
		arrecada
		cientificos
		adotar
		morrendo
		altera
		aprendem
		vencidas
		nervoso
		porra
		nova
		siga
		tava
		remunerada
		associados
		diagnosticar
		resultado
		lado
		classico
		perca
		parecendo
		procura
		monitorar
		investigados
		nascidas
		ocular
		infectadas
		meio
		dependia
		busca
		nascidos
		atualiza
		assistindo
		afetados
		relatam
		desta
		graças
		suspeitos
		petista
		fico
		descartados
		alarmante
		capital
		cotidiano
		comprova
		lindo
		nota
		respiratorios
		liga
		vinculada
		post
		internada
		alagoano
		agreste
		respeito
		micro
		denuncia
		identifica
		espirita
		bovino
		triste
		lidam
		forma
		notificados
		unidos
		clube
		cade
macmorpho	53	para
		maria
		fundo
		panama
		espanha
		porto
		pinto
		choro
		parana
		europa
		achado
		salvador
		pedro
		mostra
		amazonia
		amapa
		neurologicas
		roraima
		barcelona
		nesta
		deus
		manaus
		responsavel
		florida
		june
		paraiba
		luis
		oliveira
		vista
		goias
		alagoas
		sergipe
		colombia
		record
		internet
		socorro
		total
		jovens
		brasileiros
		america
		brasilia
		belem
		lula
		fernando
		folha
		madri
		bruno
		joao
		maia
		amazonas
		daniel
		regista
		bahia
