Names	total	elements
		confirmaçao
		lider
		cunha
		prova
		pergunta
		contingencia
		sequelas
		surtos
		sespa
		intensifica
		acesse
		veneno
		capacita
		dores
		pesquisas
		importancia
		olimpiadas
		planaltina
		milhoes
		fiocruz
		montes
		chicungunha
		meio
		militares
		partenon
		americas
		ministerio
		zyka
		acre
		ciclistico
		numeros
		lançamento
		retorno
		dobra
		sinal
		contagio
		ciclo
		ocorrencias
		moradora
		jeito
		fumace
		medicina
		doença
		horizonte
		arthur
		reuniao
		infecçoes
		saens
		brasileiros
		prefeito
		levantamento
		mano
		equipe
		redobrados
		manchas
		uberlandia
		currais
		midia
		pena
		certeza
		aviso
		dica
		sigame
		jornal
		gato
		mainha
		surto
		malaria
		reforço
		sesab
		numero
		foco
		criterios
		barco
		palavra
		fortaleza
		menina
		problema
		demora
		vitimas
		renatogottschal
		tribuna
		laudo
		contraido
		medicos
		conscientiza
		esforços
		populaçao
		mulher
		bancada
		assessoria
		sesap
		cidade
		rondonia
		fronteira
		cura
		duvidas
		epoca
		sala
		força
		veiculos
		criadouros
		estudo
		curso
		guia
		dessa
		leite
		campo
		ribeirao
		hora
		prorroga
		tipo
		verao
		lixo
		professor
		baile
		aplicativo
		passeio
		prefeitura
		b0derulez
		combateaedes
		epidemias
		mesiga
		betacaralhudosan
		muriçoca
		vitoria
		açoes
		semelhanças
		carlos
		responsabilidade
		trabalho
		campos
		atençao
		sesau
		pacto
		alunos
		dicas
		olho
		chame
		merda
		guerra
		sorte
		blog
		nois
		gestao
		senador
		tambau247
		personalizada1
		irma
		disponibilizados
		capital
		anos
		ajuda
		viagem
		globo
		bairros
		google
		2016
		santo
		vida
		facebook
		situaçao
		exame
		endemias
		contrai
		inseticida
		tema
		zoonoses
		paciente
		serviço
		agentes
		2017
		prevençao
		minutos
		parceria
		causador
		combata
		musculos
		irmao
		focos
		comite
		amiga
		controle
		diagnostico
		meningite
		microcefalia
		kkkk
		cara
		eliminaçao
		campanha
		palestra
		proliferaçao
		analia
		feira
		piaui
		infectada
		campina
		monte
		timbetalab
		plantas
		batalha
		lepo
		janeiro
		informaçao
		febrechikungunya
		estrategias
		pauta
		conta
		possibilidade
		coisa
		casa
		planos
		cabeça
		vistorias
		leishmaniose
		verdade
		recife
		educaçao
		balanço
		suspeita
		musica
		morador
		news
		cruz
		duvida
		terra
		votuporanga
		picado
		opiniao
		comunidade
		nilo
		articulaçoes
		galera
		vitima
		biologia
		fundaçao
		governo
		carnaval
		especialistas
		aegypt
		objetivo
		chiku
		agencia
		prefeitos
		luta
		fabrica
		quadro
		riachao
		capacitaçao
		risco
		gata
		desculpa
		monitora
		dezembro
		mosquitos
		ignoragente
		aedesaegypti
		viroses
		secretario
		infectologista
		doador
		prazo
		2015
		assista
		moda
		peste
		madrugada
		lindsay
		lugar
		infestaçao
		jardim
		jucamario27
		corrupçao
		site
		operacaobetalab
		adicionei
		chega2015
		michel
		foda
		estados
		filha
		escolha
		oglobonoticias
		sabado
		forma
		acordabraziu
		ipatinga
		operaçaobetalab
		previnir
		cajado
		medico
		influenza
		alerta
		valadares
		semana
		nessa
		gente
		zona
		hospital
		zikazero
		vizinhos
		neste
		interior
		queengabyboterkooper
		secretaria
		vila
		crise
		sangue
		conquista
		bebes
		combatadengue
		recursos
		divulgaçao
		vacina
floresta	104	esclarece
		misteriosa
		reforçadas
		cronicos
		distribuira
		achando
		sudeste
		investiga
		acordo
		convoca
		blitz
		transmitidos
		colombianos
		amigo
		coordena
		volta
		kits
		infectado
		desafia
		repassarem
		valente
		vejo
		contraiu
		detecta
		colombiana
		impeachment
		contraida
		cometer
		disso
		empenhados
		workshop
		ajude
		gravida
		confirmam
		repelentes
		morrendo
		daqui
		orienta
		personalizada
		roxo
		capacitados
		porra
		nova
		siga
		tava
		sanitaria
		decretado
		efetivo
		clinico
		diagnosticar
		parecidos
		sentindo
		acumular
		relaçao
		perca
		parecendo
		investigados
		branco
		transmitindo
		detalhar
		desta
		auto
		graças
		infectados
		ranking
		motivo
		limpa
		arrastao
		suspeitos
		copa
		parada
		bastasse
		fico
		frente
		puta
		isola
		autoctones
		diagnosticado
		amarela
		tire
		liga
		post
		intensificado
		diante
		pensou
		repassa
		barbara
		peguei
		doar
		clinica
		pronunciar
		identifica
		participe
		treinados
		primeiras
		triplice
		graça
		triste
		rigidos
		notificados
		transmitidas
		unidos
		hemorragica
		matando
macmorpho	61	para
		manchete
		maria
		fundo
		porto
		alta
		parana
		salvador
		pedro
		doentes
		amapa
		roraima
		miguel
		santana
		goiania
		quarto
		magalhaes
		suspeito
		ambiente
		nesta
		deus
		guanabara
		manaus
		viral
		curitiba
		paraiba
		luis
		vista
		tomara
		alagoas
		sergipe
		colombia
		hein
		internet
		socorro
		medellin
		odebrecht
		iguaçu
		brasilia
		elimine
		bogota
		belem
		chuvoso
		lula
		fernando
		tiete
		folha
		mata
		historia
		chico
		imoveis
		aracaju
		joao
		ceara
		amazonas
		decreta
		acompanhe
		ebola
		mateus
		aguento
		bahia
